,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
74,4,2090,30695,167103,519400,1188280,2085944,2880455,3466235,3727659,3655959,3093101,2073408,1091190,549329,294379,153032,62415,15156,3029,871,174,52,40,0,0,0,0,0,0,0,0
75,7,1682,17404,78764,256766,600906,1100532,1666342,2148367,2425785,2448980,2169509,1621115,1017780,564422,283421,124327,43104,10565,2232,674,200,95,21,0,0,0,0,0,0,0,0
76,13,1824,21495,93526,300401,708409,1350057,2046344,2587509,2950326,3197609,3216936,2837050,2021352,1089056,495826,238707,103481,27055,3979,982,359,125,55,24,0,0,0,0,0,0,0
77,5,416,6826,43769,144696,336268,638110,1044102,1444563,1776262,1967185,1973344,1686934,1118872,567605,249850,110373,43325,15844,6939,4476,2837,1580,319,0,0,0,0,0,0,0,0
78,0,24,861,7782,29941,110055,316195,687589,1161774,1635777,2107553,2419098,2105419,1143765,556522,276322,129239,58698,19033,13035,17771,24920,24471,9305,351,0,0,0,0,0,0,0
79,44,4871,15508,87300,277198,626520,1174846,1851530,2535044,3059918,3347709,3284650,2800235,1889913,1013151,483804,218849,96752,51966,67641,102447,74931,33217,8745,211,0,0,0,0,0,0,0
80,9,795,20848,115990,308510,643162,1131712,1672908,2169528,2526913,2696061,2573083,1999848,1186384,581299,299024,158041,73381,42492,69049,103463,86097,51742,14878,283,0,0,0,0,0,0,0
81,121,2591,34166,123152,327553,667556,1138205,1623656,2018819,2294715,2434796,2317921,1834517,1058884,483246,258531,147107,66086,31571,40365,55713,63347,81172,82586,16012,112,0,0,0,0,0,0
82,6463,71852,63594,143214,408069,906010,1601407,2346380,2934405,3311638,3351057,2937419,2155078,1355030,752901,391411,183136,72609,29405,30662,56981,129470,144599,82254,18972,391,132,168,127,120,46,0
83,5540,57988,77129,153813,398461,872008,1553073,2306920,2961294,3375784,3460306,3143300,2453514,1587966,854148,449703,244530,113902,37438,24367,37048,76571,147063,178289,74006,2259,85,117,148,119,99,12
84,4308,63011,253101,475365,449646,478401,666472,952500,1256608,1488962,1592156,1535048,1277989,867843,492371,257665,126940,58542,22617,14898,20564,43580,83448,80329,29130,1466,10,9,11,10,0,0
85,4044,40197,28182,20207,19559,34360,245220,445304,718978,1119193,1744029,2535587,2424379,1526181,731258,348664,185609,70046,13618,12143,16227,39142,90756,148292,136148,17803,374,0,0,0,0,0
86,726,7301,13280,22178,48032,106670,214154,389238,628795,915524,1202679,1385410,1346354,1132592,798342,484204,281529,164526,92110,39600,22192,23467,34548,55133,65833,17047,526,10,0,0,0,0
87,209,7827,24397,80207,249994,609287,1117791,1614636,2125820,2700000,3142731,3163178,2829141,2350900,1688121,1049011,615006,371969,201868,86188,54753,69781,117417,171055,181220,50886,1607,0,0,0,0,0
88,116,3587,18792,73738,243671,587048,1019824,1440105,1842085,2216170,2366948,2106574,1588091,1065358,681814,443073,291974,177496,82604,34186,25025,33535,70327,113768,118053,33026,512,0,0,0,0,0
89,260,6844,33195,115022,352816,816613,1432504,1986391,2497643,3018440,3288186,3005095,2353730,1688784,1121456,686973,421825,248462,106411,36647,27127,33797,66491,131044,139595,26737,410,2,0,0,0,0
90,377,4580,21867,106929,266300,550174,989563,1583112,2215731,2786473,3253255,3433508,3110941,2399203,1619115,927355,440972,209304,96535,54325,41353,41407,53902,84340,84844,12373,162,0,0,0,0,0
91,66,3131,10316,33789,107493,243106,445800,751918,1153023,1609815,2071876,2388542,2509340,2347051,1767740,1001097,474081,214692,90531,36932,20918,19562,26257,35869,33850,5198,7,0,0,0,0,0
92,413,4174,34483,123269,259215,461603,802850,1308519,1910974,2502497,3040915,3422402,3520058,2999920,2020840,1095458,577666,316818,142531,57154,33170,32183,45314,54607,29691,776,0,0,0,0,0,0
93,9,623,7145,37767,132233,311872,606355,1065464,1657465,2305856,2901597,3327442,3447566,3134355,2366151,1519061,814714,353741,138681,56386,38035,65818,88207,75370,25474,4430,679,4,0,0,0,0
94,56,1138,7260,22988,86044,239663,517314,899586,1324096,1737245,2161614,2516447,2709371,2502720,1729600,917920,400713,155019,63006,29248,17503,21864,43716,52170,8600,96,3,0,0,0,0,0
95,0,192,2696,22463,88617,237261,499893,858965,1249764,1641518,1997383,2347621,2559592,2307045,1564687,806720,388228,183160,64164,16241,5666,5200,7446,7641,837,0,0,0,0,0,0,0
96,0,168,4257,35218,127751,336965,686087,1186272,1810719,2481142,3052592,3412732,3456257,2917207,1946040,1089488,555076,236882,80296,25468,6782,1573,561,337,130,0,0,0,0,0,0,0
97,0,130,1866,22812,110110,299364,619709,1104562,1749002,2466177,3152465,3676997,3827780,3276883,2199866,1216794,617408,287709,88171,19339,5160,1824,605,213,47,7,0,0,0,0,0,0
98,34,444,4483,42616,155662,373973,720585,1240732,1856805,2504284,3105218,3613926,3846625,3300768,2116385,1115813,590442,292164,95966,22109,5370,1831,717,321,163,27,30,7,0,0,0,0
99,2,61,1552,18337,77379,210221,469330,842559,1280043,1705762,2070133,2365986,2510682,2282474,1649565,982966,496573,206823,80424,27725,8250,2424,507,168,54,0,0,0,0,0,0,0
100,0,54,2568,28576,105008,302351,656860,1055372,1459668,1908438,2272888,2441714,2312196,1898765,1321025,772031,383079,164295,65204,22590,6717,3847,2796,2814,2308,684,144,8,0,0,0,0
101,0,158,1843,16202,64945,179091,384446,666670,977858,1297275,1586474,1808222,1857459,1555073,1031813,562609,286874,122894,44531,12337,2192,649,278,96,11,0,0,0,0,0,0,0
102,0,593,5674,57585,290121,733138,1257178,1633124,1735029,1569880,1226367,822513,497768,316940,213740,134749,77012,37955,17730,8492,3784,1763,1109,1157,4801,7326,1706,253,13,0,0,0
103,0,434,3977,28207,119373,349543,780401,1396620,2111848,2823660,3427041,3775688,3641570,2867872,1803034,1029363,546916,248328,96244,33356,13449,11408,18461,19924,21199,11059,2968,387,160,10,0,0
104,825,5765,1762,5829,29320,92771,233529,472014,781312,1100060,1361391,1464313,1313730,945437,575467,329698,179005,84267,26396,6517,1842,727,271,119,59,51,23,0,0,0,0,0
105,1750,11689,3456,8905,29698,109884,482882,1145255,2092765,3455266,5138257,6649061,5440542,3015176,1489843,919266,760055,384819,62062,15779,23010,39292,63222,75985,42640,12132,6521,2651,552,77,8,0
106,134,5631,8867,47549,196722,564409,1144656,1809973,2467474,3067411,3506146,3512326,2923453,2120304,1505164,941138,489877,216679,84352,38876,41944,97169,124184,82705,16233,3184,1375,65,0,0,0,0
107,667,13441,6643,56438,231187,626201,1187244,1691681,2004364,2125568,2128713,2046766,1837289,1449518,1049147,662704,336397,133673,40926,10761,4176,1910,876,503,191,16,0,0,0,0,0,0
108,792,10990,5616,40596,163605,450812,946947,1538047,1978637,2187637,2248760,2230982,2005583,1541531,1041024,612339,322207,161694,79316,49258,109173,147324,63510,19317,6145,2847,694,117,0,0,0,0
109,0,280,4240,30316,124725,344606,723184,1228242,1747558,2085434,2200391,2226173,2112256,1775930,1230257,699057,342460,149789,43521,7667,2521,991,289,93,20,0,0,0,0,0,0,0
110,9,3153,15153,68334,207714,505551,994879,1566694,2100178,2578309,2977650,3214452,3071425,2385714,1550974,919919,510937,245177,92697,35666,31147,69701,111285,106566,49314,2312,90,0,0,0,0,0
111,1143,13255,9948,62433,227663,580934,1149896,1818994,2387792,2854125,3175053,3260201,3000603,2398296,1717348,1114502,608159,248346,66067,14122,4612,1964,879,377,174,114,0,0,0,0,0,0
112,67,2259,8167,60188,239198,622241,1193306,1827561,2430908,2943422,3273171,3308770,2903488,2210325,1547240,1004963,572573,243594,75535,37414,87655,135754,82348,50162,6934,244,13,0,0,0,0,0
113,270,2519,4440,38129,149144,421266,842370,1269275,1660672,2034023,2292595,2348793,2149881,1761547,1334589,845980,445302,204600,85711,29644,40779,90692,75482,19009,746,42,0,0,0,0,0,0
114,0,227,4481,31463,139234,392904,888064,1547636,2168801,2565328,2552868,2147350,1591877,1068862,630849,324175,139773,47964,19267,57695,64846,25666,9450,4716,1937,67,0,0,0,0,0,0
115,4444,32147,18835,79117,281088,739388,1468074,2309615,3002412,3357484,3322628,2993973,2337609,1602637,1001732,556955,268150,106628,38575,43804,91958,89129,22607,2725,286,0,0,0,0,0,0,0
116,6,1170,15236,80583,314934,777779,1449066,2172321,2843403,3383020,3633537,3387914,2622906,1731690,1051425,598421,299603,114725,29793,22892,38973,37133,7783,1108,75,4,0,0,0,0,0,0
117,0,694,13028,90870,324884,772949,1310226,1783449,2188496,2463790,2502691,2225097,1698411,1143774,716849,394396,184486,77371,34353,55970,83636,90097,70180,14778,1388,134,3,0,0,0,0,0
118,106,1866,13653,93608,320176,760913,1296628,1752336,2085884,2306057,2346483,2149393,1698494,1126744,663329,350483,160555,75819,26664,5718,1633,578,262,110,8,0,0,0,0,0,0,0
119,715,7487,15958,106429,365619,858531,1545670,2251124,2824722,3214001,3346056,3060029,2305565,1401408,791051,439290,221708,93798,33984,18136,28597,48121,30039,11004,2520,1174,234,30,0,0,0,0
120,0,1070,21494,116323,383526,888515,1577051,2300729,2928647,3392048,3554956,3339906,2636810,1702116,1006512,554770,268635,111684,35700,9133,2281,518,76,0,0,0,0,0,0,0,0,0
121,0,665,8377,60389,240483,632744,1207853,1823543,2329134,2606551,2630573,2422558,1903954,1158111,605106,323648,168611,72320,20843,8252,6075,6270,7941,6212,1986,274,27,0,0,0,0,0
122,26,950,6410,51642,210815,536600,1035564,1629093,2169918,2530538,2675467,2503106,1812749,960783,489279,277895,159761,76720,18412,2705,965,413,167,22,0,0,0,0,0,0,0,0
123,102,1466,3355,28345,123579,327308,646104,1024345,1422000,1757376,1927188,1883789,1643458,1207058,696156,362207,180737,86889,24798,4651,1089,341,156,3,0,0,0,0,0,0,0,0
124,0,125,5013,75604,356039,808712,1273606,1560566,1580396,1405236,1116144,778524,470565,283641,183160,123514,83847,55335,27920,10155,3153,830,284,114,17,0,0,0,0,0,0,0
125,34,3634,38626,164822,360425,572749,836672,1236210,1778131,2414772,3024849,3394959,3402959,2991635,2133445,1299465,740142,371667,152391,54024,18440,5074,1375,399,75,26,0,0,0,0,0,0
126,125,788,6151,47831,170670,399471,769901,1270405,1839272,2385565,2800088,2944929,2523333,1558978,815395,462570,290564,151989,52205,12825,3668,1060,198,19,0,0,0,0,0,0,0,0
127,157,24001,219868,608702,901897,1091459,1356218,1597264,1661866,1680526,1753129,1744292,1578335,1154832,646578,371270,218805,121254,50578,14337,3237,946,320,117,12,0,0,0,0,0,0,0
128,161,35376,301545,880692,1439683,1788528,2235050,2663237,2846127,2758283,2505024,2148088,1742061,1280125,789646,439386,232076,115938,44853,12197,2784,646,260,164,70,0,0,0,0,0,0,0
129,0,306,5953,57489,256251,672902,1285599,1943625,2440158,2827736,3195618,3389152,3110475,2301547,1353719,727314,417845,242467,96541,27047,6138,1351,497,191,79,0,0,0,0,0,0,0
130,0,139,3262,26804,108072,301580,631298,1102710,1653157,2206092,2634133,2826013,2614829,1919271,1104814,580106,314791,151381,51176,15321,5091,1541,476,314,129,0,0,0,0,0,0,0
131,20,462,5163,22406,97988,286270,625486,1099833,1605639,2068320,2434631,2570549,2341522,1724404,1003272,539205,281745,139375,61746,19817,3862,1017,187,68,13,0,0,0,0,0,0,0
132,0,169,2715,28468,141865,396186,841803,1440038,2101752,2725578,3177978,3412751,3236248,2604216,1703436,930883,515278,270593,111105,49296,18030,3326,595,136,45,10,0,0,0,0,0,0
133,0,109,1777,28225,152291,461514,973414,1528791,2039449,2564471,3057531,3430386,3549272,3019178,2061592,1169792,582767,242425,92189,31369,7885,1819,669,73,12,0,0,0,0,0,0,0
134,28,726,2693,39839,198581,460857,666516,827808,918539,912067,803937,614906,393113,235940,147671,93817,63175,43440,23021,11813,5528,2746,887,246,75,31,0,0,0,0,0,0
135,0,60,691,12869,65663,181300,388240,644847,926234,1209422,1461379,1606683,1555092,1268499,876646,484822,251161,128861,55882,22165,9593,3545,751,95,0,0,0,0,0,0,0,0
136,0,20,670,13173,73157,232302,526733,932476,1361818,1828555,2329863,2681449,2566960,2024173,1368681,773979,375818,169357,69021,24982,8521,4200,3003,1458,124,7,0,0,0,0,0,0
137,2,976,28227,172302,475640,787013,1015069,1285212,1685224,2197892,2682385,3044869,3153540,2720314,1914744,1134931,641531,331744,126953,34731,9617,3950,2127,874,133,0,0,0,0,0,0,0
138,18,912,8594,42897,131896,313350,622869,1091852,1664089,2228336,2713255,3031436,3073555,2711675,2025455,1296567,724774,353555,133695,36421,7446,1479,277,75,22,0,0,0,0,0,0,0
139,0,93,5575,21932,43169,147607,394661,668778,892775,1020537,1165059,1281382,876901,383116,180287,86841,36910,10746,2447,1053,447,169,15,0,0,0,0,0,0,0,0,0
