,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
82,45512,340869,273218,33616,3049528,238,4142,4158,10308906,93700,13479,8798,67045,13366,6991,67385,6672583,0,16830,72,0,10738,797,76,8521,8698,10739,1199408,2437,3260,0,22390,1676,31840,537817,626167,0
83,49640,359077,297058,34880,3211768,328,4537,4675,10937519,98006,14326,8706,69410,14476,8027,69803,6916534,1,17773,68,0,11197,969,58,9802,9911,10970,1246206,2334,3219,0,22272,1920,33859,548487,629184,0
84,25256,183462,147729,18262,1615307,195,2312,2306,5506323,50128,7024,4769,35471,7011,3989,35793,3561428,0,9085,35,0,5917,459,34,5041,5044,5893,660976,1280,1772,0,12660,995,17478,306251,353315,0
85,12672,151722,29858,35186,1795829,12,437,416,2616368,37008,1084,29379,35304,1032,365,35560,4289230,0,2531,12,0,5315,29,13,521,457,5364,682989,25199,13737,0,82274,59,9885,1081584,1734069,1
86,18488,142440,107970,14903,1208917,118,1777,1722,4164039,39808,5383,4404,27812,5515,2939,28091,2713593,1,6590,31,0,4503,293,33,3508,3558,4510,479924,1165,1721,0,10450,750,12742,224886,249416,0
87,46833,363721,272532,37551,3198960,264,4140,4211,10578740,102199,13506,11027,73264,13743,6792,73683,7158838,2,17178,85,0,11790,797,84,8556,8525,11892,1279495,2986,4327,0,28628,1479,33313,604207,701652,0
88,29868,239626,172148,23927,2131883,145,2609,2558,7067032,67741,8454,6646,48689,8254,4027,48546,4896227,1,11319,52,0,8060,464,54,5150,5052,8127,890918,1733,2607,0,19295,936,22309,436262,506781,0
89,42960,335936,250564,35100,3080418,227,3680,3675,10064310,93819,12256,10431,68954,12123,5832,69158,6896100,2,15815,53,0,11272,699,61,7271,7300,11538,1235118,3248,4019,0,28230,1343,31543,598773,700672,0
90,46876,353200,276680,37867,3154977,275,4305,4290,10693682,97028,13474,11274,70949,13367,7016,70651,6962034,0,16768,77,0,11526,761,81,8678,8598,11368,1234408,3319,4155,0,26802,1704,33048,563465,645297,0
91,34682,258345,202420,29839,2213594,230,3375,3403,7735795,70494,9788,9647,51019,9560,5708,51447,4921451,0,12191,61,0,8196,649,73,6978,6881,8223,867693,3077,3541,0,20337,1384,23549,396459,431911,0
92,49676,368484,291598,39942,3215067,332,4733,4820,10900338,101477,14461,11427,73853,14301,7865,73447,7051972,1,17722,77,0,11774,934,84,9655,9890,11703,1253545,3116,4267,1,26232,1885,34132,557878,630811,0
93,49110,364986,290440,39306,3165676,313,4582,4713,10813108,100458,14337,11426,72272,14366,7961,72661,6952589,1,17528,89,0,11544,868,76,9543,9600,11745,1233121,2956,4265,0,25764,1935,33608,539618,601935,0
94,36213,269511,210658,30481,2332282,223,3366,3456,7969073,74157,10277,9984,53477,10402,5751,53439,5180930,0,13144,65,0,8848,648,53,7093,6888,8807,931628,3179,3600,0,21485,1320,24590,417613,462359,0
95,34004,252269,198045,28065,2155670,179,3212,3295,7410040,69764,9394,8668,49981,9750,5285,49872,4806904,0,12191,61,0,8314,621,44,6592,6499,8214,866222,2526,3265,0,18712,1280,22968,385963,425131,0
96,47293,349134,282043,36760,3038821,338,4482,4550,10393192,95477,13581,10522,68191,13969,7712,68110,6613964,2,16973,88,0,10700,913,86,9338,9422,10874,1185075,2755,3720,0,22868,1822,32491,514836,579898,0
97,49759,370311,294253,40339,3202956,308,4928,4750,10944865,102504,14733,11335,73246,14770,8087,73996,7023389,3,17842,87,0,11435,898,85,9703,9849,11644,1242476,2829,3992,0,24072,1849,33620,538024,602063,0
98,49844,370838,294561,40217,3236150,304,4825,4757,11070493,102202,14624,11671,74327,14205,7971,73585,7088827,3,17913,93,0,11521,912,74,9762,9583,11776,1254042,2810,4181,0,24778,1853,34590,549193,615015,0
99,35617,262984,207536,27775,2210024,253,3342,3454,7652607,72556,10325,7755,51367,10220,5885,51397,4902993,1,12639,77,0,8325,663,55,7150,7143,8112,885176,1797,2774,0,16824,1388,24161,381410,416215,0
100,35044,257424,205912,26471,2201295,237,3284,3400,7588734,71280,10169,7093,50315,10008,5582,50428,4881458,1,12886,65,0,8159,643,59,6825,6900,8199,886525,1652,2531,0,16186,1363,23746,384392,423734,0
101,25006,188117,146950,20004,1574239,166,2423,2408,5523448,52215,7190,5375,36508,7089,4106,36781,3545906,0,9119,45,0,5829,443,47,4780,4755,5970,633866,1300,1941,0,11793,931,17348,279318,304584,0
102,19399,144504,110983,14042,1382745,110,1709,1643,4560420,38545,5151,3259,29866,5000,2696,29851,3104769,0,6998,24,0,5081,310,26,3461,3568,5103,570334,881,1431,0,10932,617,14607,268325,311110,1
103,47900,366372,283745,40303,3264508,304,4484,4423,10978262,101688,14118,11705,74738,13920,7315,74314,7241374,3,17646,81,0,11931,846,73,8955,8953,11986,1288359,3095,4300,0,27198,1627,33978,577527,656469,0
104,16774,134345,98042,14490,1162140,68,1484,1490,3802603,37777,4804,4331,27354,4877,2287,27027,2653021,0,6541,26,0,4548,259,21,3028,3001,4490,479131,1305,1706,0,10815,536,12250,228009,263920,0
105,32244,379566,89814,70360,4543750,22,1123,1085,6887110,93896,3296,55015,86923,3196,1047,86443,10577286,1,7345,28,0,13255,101,28,1317,1340,13076,1601907,43935,26201,0,174060,151,25769,2507067,4154743,1
106,46608,359897,272783,36719,3255672,249,4229,4043,10734073,100012,13329,10330,72388,13270,6683,72943,7258086,3,17149,65,0,11830,782,57,8348,8423,11743,1286989,2710,3891,0,28053,1558,33836,615932,725317,0
107,33983,255007,201229,25393,2262995,217,3116,3109,7749606,69569,9692,6674,49939,9851,5186,50268,5033112,0,12599,62,0,8253,606,55,6359,6622,8218,913135,1622,2387,0,16942,1213,23656,408908,467417,0
108,34271,260920,202018,26453,2302775,167,3078,3160,7824697,72988,9959,7027,51924,9845,5161,52031,5166382,0,12888,50,0,8547,543,57,6392,6487,8604,927854,1674,2613,1,18251,1156,24487,425593,487447,0
109,33801,251241,195367,25786,2176895,212,3260,3117,7531834,69192,9714,6814,49925,9552,5235,50369,4876370,2,12411,38,0,8252,581,49,6249,6306,8256,876435,1672,2538,0,16686,1168,23378,387084,430211,0
110,44397,340539,259485,37397,3006832,273,4034,4157,10199087,95540,13022,11119,68937,12892,6660,69296,6751145,0,15989,89,0,11424,762,86,8262,8159,10934,1182416,3583,4213,0,26136,1434,31453,549887,635361,0
111,49054,360525,290145,37003,3196240,309,4598,4591,10943874,98988,14388,9816,70994,14421,7593,71253,7005475,0,17631,78,0,11303,866,67,9335,9537,11335,1245630,2620,3591,0,23591,1763,33667,545649,621070,0
112,48630,358538,289348,35367,3228972,325,4580,4652,10994775,98165,14088,8883,70186,14054,7782,70196,7026089,0,17481,70,0,11294,880,67,9428,9298,11116,1248252,2223,3512,0,23692,1766,33668,566532,653591,0
113,36246,266674,212474,26900,2324299,238,3452,3401,7998160,72959,10201,7013,52116,10208,5725,52297,5159310,1,12990,55,0,8449,692,61,6981,7222,8511,928280,1715,2575,1,17195,1381,24809,415207,469702,0
114,31974,240265,187089,22854,2105079,228,2912,2956,7133393,66256,8989,5109,47175,9076,4850,47175,4728537,0,11483,53,0,7802,563,35,6024,6101,7558,862185,1114,1993,0,14980,1165,22701,391618,446208,0
115,47121,343829,278283,32964,3092950,327,4362,4407,10410927,93785,13468,7714,67344,13513,7499,67308,6761749,1,16871,63,0,10922,846,62,9025,9124,11009,1215423,1815,2903,0,22057,1749,32513,548517,641550,0
116,48554,358588,290016,35141,3196174,291,4426,4459,10850907,98813,14082,8114,70235,14307,7487,70539,6987585,1,17805,76,0,10956,866,65,9239,9441,11101,1249542,1891,2994,0,21434,1718,33784,551440,633429,0
117,35762,262901,212840,25012,2351702,237,3404,3370,8037246,71404,10310,5767,50837,10200,5727,51162,5163715,2,13201,46,0,8337,602,48,7067,7026,8322,939303,1212,2165,0,16167,1352,24923,424299,486332,0
118,33205,246867,194841,24269,2203044,197,3043,3045,7588196,67095,9396,6008,48593,9337,5087,48558,4922995,1,12130,49,0,8067,559,50,6318,6340,7939,888962,1495,2233,0,15606,1206,23566,396861,452342,0
119,43955,326925,260628,32049,2975102,253,4002,4082,10148969,89260,12551,7879,64209,12413,6828,64837,6556135,1,15930,71,0,10684,790,52,8372,8232,10407,1171325,1898,2949,0,20915,1482,31289,523543,604983,0
120,47970,357943,288237,34761,3229516,296,4459,4337,10932977,98267,13851,8663,70402,14040,7423,70784,7057655,0,17352,64,0,11209,866,57,9493,9252,11577,1268787,1915,3118,0,22139,1675,33807,557575,642033,0
121,33459,260421,198641,26072,2340625,159,3018,2935,7907730,73536,9630,7102,53002,9494,4774,53269,5287683,0,12795,49,0,8661,509,55,5883,6023,8704,953122,1704,2604,0,18037,1024,24772,434794,502214,0
122,30805,243332,179312,23976,2188359,152,2653,2566,7376852,67870,8772,6176,49258,8621,4261,49596,5009862,1,11854,36,0,8271,469,47,5196,5339,8304,903941,1294,2228,0,17493,955,23102,422230,486817,0
123,25947,197287,151024,20504,1688489,140,2352,2394,5836391,55312,7586,5404,39469,7169,3922,39282,3846293,0,9521,46,0,6553,398,47,4740,4814,6614,694865,1188,1920,0,12966,947,18428,311547,348941,0
124,17849,138267,99265,13897,1334866,107,1481,1440,4220006,37501,4526,3547,29650,4570,2279,29825,3040190,0,6570,22,0,5204,256,23,2967,2996,5076,562587,928,1584,0,12440,530,13865,279832,328354,1
