,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
98,0,0,0,814,8678,19786,25765,32951,41932,48733,48629,41820,32124,22456,15208,10458,7339,4955,3286,2230,1538,863,250,140,147,168,259,348,463,562,822,524
99,2456,7039,12337,5107,3891,8597,14413,24637,35329,40209,38602,40423,42519,46681,47635,43411,37733,29911,22664,16602,12516,9463,7220,5687,4427,3723,3363,3171,2939,2133,1698,1000
100,0,459,1377,3356,4085,13669,44040,69758,72096,77631,76721,81267,99317,110420,105637,86726,60153,39656,25112,15514,8668,4251,1755,1052,847,593,289,75,17,3,0,0
101,0,481,2038,27668,59875,67363,78034,72206,56700,37489,18729,7701,3059,1209,457,229,195,205,290,433,775,1104,1252,1258,1122,724,217,16,3,0,0,0
102,509,6322,5480,3508,2627,2939,11695,26179,30129,25333,24088,27232,33321,38808,41661,40410,35423,28596,20877,14371,9223,5742,3654,2286,1673,1525,1506,1665,1727,1899,2636,9292
103,0,0,762,785,3866,20342,55417,39959,59204,80583,67679,53870,48440,38411,32087,30554,22141,10589,4395,2495,1423,749,319,126,72,60,65,52,15,4,0,0
104,347,10171,5312,2726,2243,2523,6090,17183,24939,22779,18107,20609,27550,34014,39858,42365,40680,35744,28141,19985,13281,8219,4939,3267,2437,2200,2060,1913,1827,1769,1569,593
105,263,2663,1931,1721,7333,19886,41263,59060,84099,106192,111563,99454,83552,64234,42630,21588,8782,3040,1290,839,835,667,290,116,59,27,5,5,3,2,0,0
106,0,0,456,3373,21572,40932,20050,11947,18544,33526,56303,81493,94473,100424,101334,88728,68866,51627,37517,27558,19596,14575,10427,7233,4728,2315,1287,846,605,437,416,412
107,0,59,508,2520,8967,17929,26445,37157,48344,59941,68695,69754,59827,46027,34405,24189,15926,9001,5035,3993,4280,2159,1112,1508,1543,1042,654,227,40,21,33,83
108,0,4698,2914,2040,3712,14922,27591,40624,59203,73555,79660,78191,67158,53021,41234,31049,21719,14921,9895,6370,3352,1529,661,361,206,150,94,57,44,41,4,0
109,233,6359,4966,4787,2939,1985,4928,13600,22410,22194,19933,20778,25755,34573,42458,46139,45583,40432,32032,22787,14827,9563,6425,4333,3200,2317,1457,958,671,455,169,18
110,0,3439,16720,2021,3002,6409,15246,30736,39034,36521,32224,32346,32430,30896,30105,28639,26668,25019,21927,17816,13185,8927,6105,4344,3250,2465,2025,1991,2038,1909,1428,367
111,0,0,110,5625,19514,31349,45237,61071,72258,75552,69223,57132,42999,30807,21345,14783,10180,6267,2750,1008,410,309,380,696,1288,1969,1788,1036,575,278,61,0
112,251,5041,5511,2009,1768,9848,31399,35813,35681,37225,36349,32685,31117,29272,27333,25956,21766,15096,9315,5552,3696,2461,1799,1433,1146,982,818,947,1172,1223,1411,1717
113,0,1024,17066,60053,24696,24277,40008,53552,82039,95986,94405,85770,78406,60281,35302,18511,7650,3663,3086,2974,2728,3227,4313,4348,2562,1789,215,5,0,0,0,0
114,0,540,3667,2396,9410,43793,78285,91423,86101,68618,49773,35986,28904,25598,22388,18956,14648,11073,8018,5231,3313,1992,1227,672,383,233,113,66,37,18,2,0
115,0,35,99,800,16023,47286,49477,52931,87932,127939,146887,127176,97265,64760,37103,19972,10069,5303,4366,3510,3430,2592,2737,2826,3286,2944,2193,1611,917,131,0,0
116,4,359,8605,3033,928,864,1532,4852,10704,22733,30058,33229,35228,36292,36168,35262,31070,25095,19309,12773,7825,4716,2975,2089,1647,1486,1387,1413,1253,1042,715,138
117,0,61,699,21770,50059,31999,33465,52250,71424,82483,82371,72985,60178,49212,36430,23131,13370,7017,2985,1331,580,593,1371,1634,2026,2368,3060,1987,1313,1018,386,76
118,2,11669,7087,3449,2341,1856,1776,5807,17217,25725,27120,30409,34819,37594,38037,36426,33834,31210,27076,21920,15347,9955,6239,3453,2353,1999,1893,1710,1498,1265,987,295
119,1,614,5239,4833,9018,37824,94512,132887,138399,120708,93384,71223,55428,44016,30456,20174,10906,4890,2089,970,443,153,119,99,81,42,30,30,7,16,1,0
120,6,5699,10402,3573,12598,34951,64174,92142,109172,115611,106322,78287,50125,28337,15508,9035,5109,2851,1438,868,614,378,280,241,268,293,281,386,340,169,105,5
121,0,22,598,1663,6605,17436,33897,49723,58718,61653,57995,47174,37426,29156,21644,15399,10125,5695,3067,1848,659,189,51,31,17,9,0,0,0,0,0,0
122,66,3552,4451,4671,3315,7558,22846,47278,76734,98015,90522,68586,45800,27658,14047,5711,2392,1318,746,454,251,215,230,379,855,1448,1431,819,102,6,0,0
123,0,1,12997,43775,9041,5841,12640,26103,43526,59179,77258,74353,54299,34850,20155,8487,3445,2039,1972,2062,2377,2244,1728,1340,1037,879,460,149,35,0,0,0
124,206,1338,1003,3541,14316,34034,55411,76008,87929,90589,81596,66196,51445,40089,30172,21640,14064,7544,3775,2019,1091,765,620,558,560,563,668,669,631,423,187,14
