,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
50,0,3,162,3545,2843,4061,6753,8454,13624,25086,35244,37227,34629,32248,31454,32453,34349,36330,38082,39362,39453,38492,37425,35187,32202,29164,26103,22280,18491,14934,11694,8763,6603,4580,3323,2146,1587,1074,813,601,464,361,289,268,281,307,315,443,575,743,977,973,924,923,937,1011,1021,1102,1035,984,1010,1107,1027,99
51,0,0,425,2616,8141,9949,7082,5097,3211,4430,9782,20728,33173,38283,32794,31326,35383,41422,48500,54661,58832,59877,60121,58326,53560,47161,40840,33824,27892,23635,20029,16729,13497,10845,8332,6146,4470,3284,2519,2166,1944,1860,1825,1727,1603,1538,1300,1205,1050,1052,1008,862,900,870,843,844,831,842,886,965,1045,1358,2357,1413
52,0,1805,8425,3279,1560,998,747,886,1139,1648,2021,1829,1430,1493,2101,3365,4780,7048,9976,13626,17504,20576,24190,29289,34295,38725,40606,39533,37337,34725,31208,26515,22086,17791,14373,11544,9305,6699,4634,2855,1847,1191,881,655,508,441,435,452,395,358,312,261,264,196,162,138,89,58,27,26,16,14,0,0
53,0,347,3705,2235,1070,511,384,401,485,777,1885,4429,7730,8944,9013,7969,7426,7513,8751,9973,11367,12030,12349,12548,12427,12265,12085,11852,11904,11088,9842,9553,9262,7824,6635,5123,3491,2135,1404,903,675,528,507,424,414,415,410,404,402,366,385,329,331,295,283,262,257,288,265,289,368,533,1189,4154
54,0,0,23,18,442,2194,2820,4118,12103,24543,28542,23579,15854,10590,9901,12411,16869,22623,29131,36718,43553,49770,54010,57362,57241,55747,51918,48092,42565,37279,32394,27390,22407,17906,14254,10864,8347,6026,4509,3501,2560,1999,1510,1228,1155,1119,1080,964,1024,956,1015,1074,1323,1356,1339,1285,1102,848,534,350,132,26,7,0
55,0,0,787,1647,1114,914,651,556,457,589,848,1699,3566,6597,8366,7954,6648,5643,5273,5543,5937,6100,6816,7933,9228,10459,11642,12720,13755,14601,15321,15874,15639,15620,14796,13479,11612,10231,8742,7203,5939,4919,3723,3113,2489,1907,1535,1183,949,816,623,585,565,565,553,526,508,520,504,449,406,322,210,19
56,0,0,3907,3384,1409,1031,1441,8623,11931,6910,3504,3778,3616,2911,3045,3322,3946,4528,5711,7002,8707,9680,10699,11491,12141,12821,14811,17181,19780,21747,23843,24311,24358,23128,22234,19855,16895,14772,12963,11371,9079,6774,5359,4154,3346,2722,2180,1705,1409,1161,928,871,722,753,679,780,841,857,825,866,780,719,474,29
57,0,7,112,599,3768,24218,26860,16792,5136,1315,1602,6339,17891,20909,22135,33689,43465,46083,42688,36608,35346,36740,36458,34932,31271,26147,21149,16724,12507,8313,5040,2733,1576,1116,1056,1015,1016,909,896,951,889,897,1081,1688,2764,3362,2529,1016,148,17,6,3,1,0,0,0,0,0,0,0,0,0,0,0
58,0,0,0,231,3380,2471,1821,912,521,629,905,2176,4728,8737,12162,13441,15021,17426,21197,23285,21474,18522,17453,16950,16683,16057,15510,15262,14990,14420,13391,12707,11579,10593,9808,8563,7530,6737,5726,4964,4072,3186,2538,1905,1538,1187,921,825,640,512,473,354,303,242,222,202,218,180,234,282,415,854,2055,1864
59,0,23,136,78,155,288,280,537,1305,2797,6153,12332,22282,34218,43419,49385,54419,58352,58823,56775,52046,46248,38114,30790,23749,17649,13146,10464,8085,6417,5517,4970,4055,3243,2824,2599,2187,1456,794,452,205,189,146,174,165,160,177,147,142,129,139,126,123,91,85,67,35,38,11,1,0,0,0,0
60,0,0,0,357,914,554,508,821,2179,7539,17701,32721,49716,44524,30363,33854,43091,53244,61047,64383,65161,64150,61385,58164,54291,47557,37683,27496,19081,12279,7443,4400,2911,2101,1742,1620,1475,1359,1227,1072,901,775,567,382,290,169,105,63,37,38,35,55,50,68,105,90,90,56,27,27,19,2,0,0
61,0,12,22,26,58,251,1777,8751,14268,19266,27441,36192,45758,54442,62529,69070,74526,82202,92267,106739,121064,120562,110027,91983,73125,57533,45348,36395,28891,22578,17992,13803,10215,7511,5310,3981,3478,3046,2849,2509,2413,2511,2369,2430,2189,2175,1953,1624,1206,989,812,646,487,266,115,62,14,6,0,0,0,0,0,0
62,0,34,2425,2151,1860,1749,2204,3139,4082,5467,8527,14024,22388,31864,37165,39551,40925,41341,41407,41593,40910,39730,38179,36384,34039,31330,28020,25053,22461,20444,18174,16387,14836,13380,12046,10754,9449,8474,7436,6828,6408,5662,5222,4630,3905,3234,2745,2276,1870,1669,1392,1136,923,760,648,481,361,265,199,138,63,21,6,0
63,0,72,1567,1136,825,830,877,742,567,430,457,601,803,1628,3250,5642,9076,12911,15392,15709,15527,15598,16771,17740,16195,14381,13409,13406,13622,13532,12879,12751,12796,13100,13603,13934,14137,14270,14148,13701,13153,12414,11388,10476,9467,8431,7358,6363,5570,4653,4114,3551,3131,2779,2518,2444,2206,2115,1995,1828,1825,2058,2655,1797
64,0,0,752,4123,1126,1343,8876,10169,6799,2213,1591,2438,5087,10264,17979,27325,36352,43361,47113,47460,46267,42368,37280,31171,25429,20192,15604,11942,8956,6321,4481,3205,2285,1660,1302,1149,967,989,1160,2036,3462,4295,2372,676,313,247,177,181,143,108,89,62,43,50,26,15,11,8,5,3,2,1,0,0
65,0,0,103,611,491,2924,19469,47688,27388,8466,3783,5229,12172,22109,21171,22138,30113,37124,43963,47315,44711,40312,40372,42512,44168,42546,39300,34331,28085,21949,16601,11763,8370,5526,3970,2839,2243,1930,1454,1233,1155,1047,734,511,341,257,174,124,91,67,37,12,10,7,0,1,0,0,0,0,0,0,0,0
